"title","keywords","link"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_05_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_05_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_06_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_06_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_07_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_07_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_08_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_08_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_09_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_09_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_10_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_10_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_11_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_11_HA.ASC.gz"
"MONTHLY_GROWING_AREA_TOTAL_MONTH_12_HA.ASC","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/monthly_growing_area_grids/MONTHLY_GROWING_AREA_TOTAL_MONTH_12_HA.ASC.gz"
"CELL_SPECIFIC_CROPPING_CALENDARS_30MN.TXT","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/growing_periods_listed/CELL_SPECIFIC_CROPPING_CALENDARS_30MN.TXT.gz"
"cropping_calendar_irrigated.txt","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/condensed_cropping_calendars/cropping_calendar_irrigated.txt.gz"
"cropping_calendar_rainfed.txt","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/condensed_cropping_calendars/cropping_calendar_rainfed.txt.gz"
"unit_code.asc","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/unit_code_grid/unit_code.asc.gz"
"unit_name.txt","Land management, agriculture","ftp://ftp.rz.uni-frankfurt.de/pub/uni-frankfurt/physische_geographie/hydrologie/public/data/MIRCA2000/unit_code_grid/unit_name.txt.gz"
"AMSRE_36V_AM_FT_2002_day170.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day170.h5"
"AMSRE_36V_AM_FT_2002_day171.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day171.h5"
"AMSRE_36V_AM_FT_2002_day172.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day172.h5"
