File_ID,ID,LAT,LON,X..lambert.azimuthal.equal.area.,Y..lambert.azimuthal.equal.area.,River_Name,Station_Location,Catchment_Area (km2),Outlet_elevation (m.a.s.l),nat_id,Country,Pristine Basins,GRDC Reference Dataset,AdaptAlp,d_start,d_end,d_yrs,d_miss,basin_boundary,,ID,wso1_id,ccm,Xccm,Yccm,AreaSHP,fileexists,area_diff,area_diff,FLAG_OK,wso1new,area,station,distance,REL_area_diff,final_wso1_id,,katka,exists,,,
GRDC_6119210_DMF,6119210,"44,4098","-0,7527","-1634752,308","-939660,7268",MOUSTEY (BIGANON),MOUSTEY (BIGANON),159,"88,44",S2224610,FR,1,0,0,1967,2008,42,"0,78",0,,6119210,406528,2003,"3466128,522","2428158,132","71,3100000000074",1,"-87,6899999999926","-55,1509433962218",0,-999,-999,-999,-999,-999,,,GRDC_6243201_DMF,0,,,
GRDC_6119220_DMF,6119220,"44,4643","-0,7746","-1634822,65","-933322,2645",BELIN-BELIET (MOULIN DU MOINE),BELIN-BELIET (MOULIN DU MOINE),36,"83,35",S2235610,FR,1,0,0,1967,2012,46,"0,01",0,,6119220,405531,2003,"3465224,652","2434405,225","35,6600000000041",1,"-0,339999999995946","-0,944444444433184",1,,,,,,405531,,GRDC_6243210_DMF,1,2005,657824,"137,219999999966"
GRDC_6119300_DMF,6119300,"46,7493","-0,9518","-1579739,188","-684466,8475",SAINT-PROUANT (MONSIREIGNE),SAINT-PROUANT (MONSIREIGNE),131,"118,99",N3001610,FR,1,0,0,1968,2012,45,"0,68",0,,6119300,362500,2003,"3486842,134","2687929,517","123,260000000026",1,"-7,73999999997425","-5,90839694654523",2,362009,"123,4",SAINT-PROUANT (MONSIREIGNE),"5,47164770331988","5,80152671755725",362009,,GRDC_6243220_DMF,0,,,
GRDC_6119310_DMF,6119310,"46,6858","-1,1137","-1593496,961","-687675,2656",SAINT-HILAIRE-LE-VOUHIS,SAINT-HILAIRE-LE-VOUHIS,305,"91,3",N3113010,FR,1,0,0,1968,2008,41,"16,94",0,,6119310,363217,2003,"3473599,724","2682775,661","274,700000000004",1,"-30,2999999999962","-9,93442622950695",1,,,,,,363217,,GRDC_6243230_DMF,1,2005,660417,"269,950000000114"
GRDC_6119320_DMF,6119320,"46,6687","-0,9717","-1583642,362","-692663,1316",CHANTONNAY (ST-PHILBERT DU PONT CHARRAUL,CHANTONNAY (ST-PHILBERT DU PONT CHARRAUL,120,"99,17",N3024010,FR,1,0,0,1968,2012,45,"0,73",0,,6119320,363878,2003,"3484065,805","2679279,391","122,549999999985",1,"2,54999999998522","2,12499999998768",1,,,,,,363878,,GRDC_6243235_DMF,1,2005,661003,"125,100000000011"
GRDC_6121240_DMF,6121240,"49,6284","5,1587","-1064677,795","-486061,6623",CARIGNAN,CARIGNAN,1967,"203,03",B4631010,FR,1,0,0,1966,2012,47,"1,19",0,,6121240,336907,2003,"3971463,216","2957704,634","1993,05000000026",1,"26,050000000256","1,32435180479186",1,,,,,,336907,,GRDC_6243260_DMF,1,2005,670461,"81,0999999999456"
GRDC_6122101_DMF,6122101,"47,4298","3,4071","-1242011,153","-697071,9015",PLAINES-SAINT-LANGE,PLAINES-SAINT-LANGE,704,"226,55",H0100020,FR,1,0,0,1967,2012,46,0,0,,6122101,358993,2003,"3824006,03","2723946,257","87,5599999999995",1,"-616,440000000001","-87,5625000000001",0,-999,-999,-999,-999,-999,,,GRDC_6243270_DMF,1,2005,669706,"74,2499999999862"
GRDC_6122102_DMF,6122102,"47,4133","3,4931","-1236100,509","-700354,2259",NOD-SUR-SEINE,NOD-SUR-SEINE,371,"295,87",H0100010,FR,1,0,0,1968,2012,45,0,0,,6122102,359016,2003,"3830313,656","2721544,942","274,990000000014",1,"-96,0099999999862","-25,8787061994572",0,-999,-999,-999,-999,-999,,,GRDC_6243300_DMF,1,2005,659362,"322,630000000023"
GRDC_6122110_DMF,6122110,"49,3072","4,7822","-1098556,738","-515367,4542",MOURON,MOURON,2280,"146,95",H6201010,FR,1,0,0,1962,2007,46,"0,32",0,,6122110,340575,2003,"3941838,138","2923922,653","2238,73000000049",1,"-41,2699999995102","-1,81008771927676",1,,,,,,340575,,GRDC_6243350_DMF,1,2005,680552,"84,9200000000205"
GRDC_6122120_DMF,6122120,"48,7451","4,626","-1122527,772","-574193,1945",VITRY-EN-PERTHOIS,VITRY-EN-PERTHOIS,2100,"141,08",H5172010,FR,1,0,0,1967,2012,46,0,0,,6122120,346295,2003,"3926039,139","2862381,632","2109,45000000004",1,"9,45000000004393","0,450000000002092",1,,,,,,346295,,GRDC_6243355_DMF,1,2005,679471,"110,570000000017"
GRDC_6122130_DMF,6122130,"48,6667","2,3406","-1287891,024","-544025,6847",MORSANG-SUR-ORGE,MORSANG-SUR-ORGE,922,"83,65",H4252010,FR,1,0,0,1967,2012,46,"0,03",0,,6122130,345755,2003,"3757780,156","2868554,785","980,840000000008",1,"58,8400000000077","6,38177874186634",1,,,,,,345755,,GRDC_6243360_DMF,1,2005,678055,"339,150000000028"
GRDC_6122135_DMF,6122135,"48,56","2,0316","-1312739,833","-549930,3146",SAINT-CYR-SOUS-DOURDAN,SAINT-CYR-SOUS-DOURDAN,147,"126,18",H4223110,FR,1,0,0,1968,2012,45,0,0,,6122135,346591,2003,"3733906,248","2859159,768","12,4599999999962",1,"-134,540000000004","-91,5238095238121",0,-999,-999,-999,-999,-999,,,GRDC_6243400_DMF,1,2005,675052,"783,199999999985"
GRDC_6122141_DMF,6122141,"49,5592","2,9932","-1218691,524","-458784,3921",SEMPIGNY,SEMPIGNY,4290,"79,39",H7401010,FR,1,0,0,1955,2012,58,"0,01",0,,6122141,336445,2003,"3814855,652","2962642,024","4274,52999999962",1,"-15,4700000003768","-0,360606060614843",1,,,,,,336445,,GRDC_6243450_DMF,1,2005,684715,"2148,31999999992"
GRDC_6122145_DMF,6122145,"49,8941","4,0183","-1138625,096","-439413,8634",ORIGNY-EN-THIERACHE,ORIGNY-EN-THIERACHE,258,"184,75",H7033010,FR,1,0,0,1967,2008,42,0,0,,6122145,333691,2003,"3891688,073","2993236,088","233,140000000049",1,"-24,8599999999509","-9,63565891470964",2,333485,"233,2",ORIGNY-EN-THIERACHE,"8,70039598185481","9,61240310077519",333485,,GRDC_6243800_DMF,1,2005,635091,"169,479999999918"
GRDC_6122150_DMF,6122150,"48,4482","1,2907","-1368603,774","-548059,1646",SAINT-LUPERCE,SAINT-LUPERCE,330,"204,2",H9021010,FR,1,0,0,1965,2012,48,"6,48",0,,6122150,347105,2003,"3678166,151","2852978,701","306,709999999917",1,"-23,2900000000835","-7,05757575760105",1,,,,,,347105,,GRDC_6243850_DMF,1,2005,631998,"24239,2199999997"
GRDC_6122155_DMF,6122155,"49,1325","2,4152","-1270391,738","-494918,7984",VIARMES (GIEZ+BERTINVAL),VIARMES (GIEZ+BERTINVAL),"57,3","86,75",H83335XX,FR,1,0,0,1968,2010,43,"2,49",0,,6122155,340942,2003,"3768462,731","2919549,051","60,2700000000243",1,"2,97000000002432","5,18324607334087",1,,,,,,340942,,GRDC_6246110_DMF,1,2005,689936,"953,849999999844"
GRDC_6122160_DMF,6122160,"48,6667","2,3406","-1287891,024","-544025,6847",MARIGNY-EGLISE (MENEFRIERS+CROTTEFROU),MARIGNY-EGLISE (MENEFRIERS+CROTTEFROU),221,"359,26",H21220XX,FR,1,0,0,1961,2010,50,"0,15",0,,6122160,345755,2003,"3757780,156","2868554,785","980,840000000008",1,"759,840000000008","343,81900452489",0,345409,"271,9",MARIGNY-EGLISE (MENEFRIERS+CROTTEFROU),"8,40969218262828","23,0316742081448",,,GRDC_6246120_DMF,1,2005,687182,"308,220000000103"
GRDC_6122170_DMF,6122170,"48,56","2,0316","-1312739,833","-549930,3146",CORVOL-ORGUEILLEUX,CORVOL-ORGUEILLEUX,81,"221,72",H2073110,FR,1,0,0,1967,2012,46,0,0,,6122170,346591,2003,"3733906,248","2859159,768","12,4599999999962",1,"-68,5400000000038","-84,617283950622",0,-999,-999,-999,-999,-999,,,GRDC_6246130_DMF,1,2005,692991,"594,380000000316"
GRDC_6122180_DMF,6122180,"48,3368","2,7879","-1264400,272","-587787,4972",OUAGNE (CHAMPMOREAU),OUAGNE (CHAMPMOREAU),264,"209,66",H2062010,FR,1,0,0,1967,2012,46,0,0,,6122180,349272,2003,"3787047,173","2828706,005","250,429999999921",1,"-13,5700000000787","-5,14015151518131",2,349516,"250,4",OUAGNE (CHAMPMOREAU),"1,68253117354586","5,15151515151515",349516,,GRDC_6246140_DMF,0,,,
GRDC_6122190_DMF,6122190,"47,817","3,8001","-1203944,636","-661732,8671",CHABLIS,CHABLIS,3580,"180,6",H2342010,FR,1,0,0,1954,2001,48,0,0,,6122190,355067,2003,"3857047,489","2764287,438","1121,82000000013",1,"-2458,17999999987","-68,6642458100523",0,-999,-999,-999,-999,-999,,,GRDC_6246160_DMF,1,2005,682265,"516,640000000004"
GRDC_6122200_DMF,6122200,"47,353","3,9635","-1202958,148","-714929,6031",AUTRICOURT,AUTRICOURT,248,"244,4",H0321030,FR,1,0,0,1967,2012,46,0,0,,6122200,359936,2003,"3865164,031","2711857,245","222,57999999989",1,"-25,4200000001101","-10,2500000000444",0,-999,-999,-999,-999,-999,,,GRDC_6246161_DMF,1,2005,680835,"144,52"
GRDC_6122210_DMF,6122210,"47,9951","4,4802","-1150229,755","-653566,6313",TOURNEHEM-SUR-LA-HEM (GUEMY),TOURNEHEM-SUR-LA-HEM (GUEMY),105,"77,29",E4306010,FR,1,0,0,1966,2012,47,"6,15",0,,6122210,353633,2003,"3909262,909","2779999,625","693,18000000012",1,"588,18000000012","560,171428571543",0,354541,42,TOURNEHEM-SUR-LA-HEM (GUEMY),"9,05315217528713",60,,,GRDC_6246165_DMF,1,2005,679740,"35,3400000000052"
GRDC_6122220_DMF,6122220,"47,7637","4,5699","-1148959,792","-680211,0136",FRANCHEVILLE,FRANCHEVILLE,124,"194,32",B5322010,FR,1,0,0,1968,2012,45,"1,61",0,,6122220,356027,2003,"3914103,558","2753844,94","133,57000000002",1,"9,57000000001955","7,71774193549964",2,356367,"133,6",FRANCHEVILLE,"5,32224522987828","7,74193548387097",356367,,GRDC_6246170_DMF,1,2005,684339,"288,819999999952"
GRDC_6122240_DMF,6122240,"48,3368","2,7879","-1264400,272","-587787,4972",EPISY,EPISY,3900,"96,76",H3621010,FR,1,0,0,1949,2012,64,0,0,,6122240,349272,2003,"3787047,173","2828706,005","3914,77000000032",1,"14,7700000003215","0,378717948726192",1,,,,,,349272,,GRDC_6246180_DMF,1,2005,680232,"60,9399999999976"
GRDC_6123100_DMF,6123100,"47,38","-0,83","-1551725,34","-619537,2627",MONTJEAN,MONTJEAN,110000,9,0,FR,0,1,0,1963,1979,17,"5,89",1,,6123100,355756,2003,"3505918,357","2756032,582","110245,639999981",1,"245,639999981227","0,223309090892025",1,,,,,,355756,,GRDC_6246185_DMF,1,2005,679946,"13,489999999999"
GRDC_6123140_DMF,6123140,"47,3091","-1,0525","-1569946,354","-622266,9922",CHAPELLE-SAINT-FLORENT (PONT DALAINE),CHAPELLE-SAINT-FLORENT (PONT DALAINE),460,"66,02",M6013010,FR,1,0,0,1967,2008,42,"4,88",0,,6123140,356278,2003,"3488177,796","2750703,615","470,58999999994",1,"10,5899999999404","2,30217391303052",1,,,,,,356278,,GRDC_6246190_DMF,0,,,
GRDC_6123150_DMF,6123150,"47,1207","-1,5328","-1610477,416","-631728,0155",LES SORINIERES (VILLENEUVE),LES SORINIERES (VILLENEUVE),147,"55,95",M8205020,FR,1,0,0,1964,2012,49,"2,83",1,,6123150,357808,2003,"3449170,013","2735501,963","166,909999999976",1,"19,9099999999757","13,5442176870583",0,-999,-999,-999,-999,-999,,,GRDC_6246195_DMF,1,2005,675941,"56,0599999999952"
GRDC_6123160_DMF,6123160,"47,0172","-1,1162","-1583520,302","-652126,3712",TIFFAUGES (LA MOULINETTE),TIFFAUGES (LA MOULINETTE),814,"98,66",M7112410,FR,1,0,0,1967,2012,46,0,0,,6123160,359988,2003,"3478723,316","2719286,144","55,5100000000024",1,"-758,489999999998","-93,1805896805894",0,-999,-999,-999,-999,-999,,,GRDC_6246620_DMF,1,2005,657563,"154,470000000051"
GRDC_6123170_DMF,6123170,"47,4629","-1,4816","-1596059,085","-596277,3412",NORT-SUR-ERDRE (MOULIN DE VAUX),NORT-SUR-ERDRE (MOULIN DE VAUX),472,"59,23",M6333020,FR,1,0,0,1967,2012,46,0,0,,6123170,354197,2003,"3458698,273","2772553,555","476,590000000012",1,"4,59000000001146","0,972457627121071",1,,,,,,354197,,GRDC_6246630_DMF,1,2005,673207,"379,379999999943"
