grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos,
4185600,4,85,485,50106100,RIO COAMO,HIGHWAY 14 AT COAMO,PR,"18,0814","-66,3541","112,7",100,0,0,1987,2003,17,0,    ,    ,     ,     ,1987,2003,17,"0,595","0,019",166,"94,1","99,5",9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185650,4,85,485,50039500,RIO CIBUCO,VEGA BAJA,PR,"18,4461","-66,3743","256,7","2,38",0,0,1973,2003,31,"0,02",    ,    ,     ,     ,1973,2003,31,"3,494","0,11",429,"96,8",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4185700,4,85,485,50026025,RIO CAONILLAS,PASO PALMA,PR,"18,2294","-66,6368","98,3","294,01",4185152,0,1995,2003,9,0,    ,    ,     ,     ,1995,2003,9,"2,661","0,084",854,"77,8",100,9.6.2004,2004,22.11.2005,2005,1,0,0,0,0,0,0,0,0,0,0
4186100,4,86,486,F9-1,CARONI RIVER,CARONI KELLY,TT,"10,59","-61,36","388,5",-999,0,0,1967,1982,16,"25,79",1967,1982,16,"25,81",1967,1982,16,"12,797","0,404",1039,"68,8","99,2",8.1.1998,1998,8.1.1998,1998,-999,0,0,0,0,0,0,0,0,0,0
4186200,4,86,486,F2-5,MATURA RIVER,NORTH OROPUCHE,TT,"10,68","-61,05","45,1",-999,0,0,1975,1994,20,"0,95",1975,1994,20,"1,72",1975,1994,20,"1,953","0,062",1366,95,"99,6",8.1.1998,1998,8.1.1998,1998,-999,0,0,0,0,0,0,0,0,0,0
4186300,4,86,486,F7-1,SOUTH OROPUCHE RIVER,SOUTH OROPUCHE,TT,"10,15","-61,43","143,7",-999,0,0,1967,1982,16,"5,17",1967,1981,15,"14,37",1967,1982,16,"3,155","0,099",692,"81,3","98,1",8.1.1998,1998,8.1.1998,1998,-999,0,0,0,0,0,0,0,0,0,0
4186400,4,86,486,F4-1,ORTOIRE RIVER,ORTOIRE,TT,"10,24","-61,14","146,1",-999,0,0,1967,1994,28,"11,36",1967,1994,28,"11,89",1967,1994,28,"2,701","0,085",583,"78,6",100,8.1.1998,1998,8.1.1998,1998,-999,0,0,0,0,0,0,0,0,0,0
4186900,4,86,486,F14-1,COURLAND RIVER,COURLAND,TT,"11,21","-60,77","29,5",-999,0,0,1974,1992,19,"38,31",1974,1992,19,"40,89",1974,1992,19,"4,057","0,128",4337,"57,9",97,8.1.1998,1998,8.1.1998,1998,-999,0,0,0,0,0,0,0,0,0,0
4589500,4,89,489,62310115,GRANDE RIVIERE A GOYAVES,PRISE D'EAU,GP,"16,2","-61,65","54,3",90,0,0,1978,1983,6,"0,59",1973,1975,3,0,1973,1983,11,"4,756","0,15",2762,"81,8",100,13.1.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4789700,4,89,489,,LA LEZARDE RIVIERE,GROS MORNE,MQ,"14,7","-61,03",13,171,0,0,    ,    ,     ,     ,1973,1976,4,0,1973,1976,4,"0,271","0,009",657,100,100,20.2.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4692700,4,92,492,,GRANDE DE SAN MIGUEL,LAS CONCHAS,SV,"13,28","-88,42",2238,7,0,0,    ,    ,     ,     ,1976,1981,6,"31,25",1976,1981,6,"35,556","1,121",501,50,100,20.2.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4692750,4,92,492,,GRANDE DE SAN MIGUEL,VADO MARIN,SV,"13,3","-88,28",1900,20,4692700,0,    ,    ,     ,     ,1969,1981,13,"27,03",1969,1981,13,"26,229","0,827",435,"61,5",100,20.2.1992,1992,20.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
4494500,4,94,494,,GUACALATE,ALOTENANGO,GT,"14,48","-90,89",328,1350,0,0,    ,    ,     ,     ,1980,1984,5,0,1980,1984,5,"0,688","0,022",66,80,100,20.2.1992,1992,20.2.1992,1992,-999,0,0,1,0,0,0,0,0,0,0
